Row Labels,Sum of Total Available Quantity
BOMCT286ZL54-1226CP,0
BOMCT307ZL50-1315-CTP,1
BOMCT307ZL50-1315DA,0
BOMCT307ZL53-1315CA,7
BOMCT315IL50-1080AP,111
BOMCT315IL50-1080-CTP,30
BOMCT315IL50-1080DA,12
BOMCT331XL50-1319B,1
BOMCT332XL50-1319A,0
BOMCT332XL50-1319B,0
BOMCT332XL50-1319C,0
BOMCT365ZL52-6103A,0
BOMCT365ZL52-6103B,0
BOMCT365ZL52-6103C,1
BOMCT517AC-FW0004-C140,2
BOMCT517AC-FW0570-C111,193
BOMCT517ACL52-1315BJ,31
BOMCT517I-1315CE,70
BOMCT517I-FW0004-C074,3
BOMCT517I-FW0004-C091,6
BOMCT517IL54-1315AW,55
BOMCT517IL54-1315P,25
BOMCT517Z-FW0004-C037,9
